id,l10n_co_divipola,name,code,country_id/id,state_id/id,l10n_co_dian_code
town_co_1122,70001000,LA GARITA,10006,base.co,base.state_co_22,10006
town_co_1123,70001000,LAS PALMAS,10006,base.co,base.state_co_22,10006
town_co_1124,70001003,CHOCHO,1003,base.co,base.state_co_22,1003
town_co_1125,70001007,LA GALLERA,1007,base.co,base.state_co_22,1007
town_co_1126,70001007,LA BOCA DEL ZORRO,1007,base.co,base.state_co_22,1007
town_co_1127,70473011,BREMEN,473011,base.co,base.state_co_22,473011
town_co_1128,70215014,PILETA,215014,base.co,base.state_co_22,215014
town_co_1129,70001009,CERRO NARANJO,1009,base.co,base.state_co_22,1009
town_co_1130,70001006,LA CHIVERA,1006,base.co,base.state_co_22,1006
town_co_1131,70670006,LA NEGRA,670006,base.co,base.state_co_22,670006
town_co_1132,70823004,LA PALMIRA,823004,base.co,base.state_co_22,823004
town_co_1133,70001000,LA ARENA,1008,base.co,base.state_co_22,1008
town_co_1134,70823000,TOLUVIEJO,823000,base.co,base.state_co_22,823000
town_co_1135,70823005,VARSOVIA,823005,base.co,base.state_co_22,823005
town_co_1136,25878003,EL PIÑAL,878003,base.co,base.state_co_10,878003
town_co_1137,70742000,SINCÉ,742000,base.co,base.state_co_22,742000
town_co_1138,700010001,VELEZ,10001,base.co,base.state_co_22,10001
town_co_1139,70233004,EL SITIO,233004,base.co,base.state_co_22,233004
town_co_1140,700010002,SAN ANDRÉS,10002,base.co,base.state_co_22,10002
town_co_1141,700010003,LA Y,10003,base.co,base.state_co_22,10003
town_co_1142,700010004,LA VILLA,10004,base.co,base.state_co_22,10004
town_co_1143,23417023,"MATA DE CAÑA LORICA",417023,base.co,base.state_co_10,417023
town_co_1144,70400000,LA UNIÓN SUCRE,400000,base.co,base.state_co_22,400000
town_co_1145,23079012,EL VIAJANO,79012,base.co,base.state_co_10,79012
town_co_1146,13468000,MOMPÓX,468000,base.co,base.state_co_04,468000
town_co_1148,15442005,GUAYABAL,442005,base.co,base.state_co_05,442005
town_co_1149,70221004,PUNTA SECA O SANTAFE,221004,base.co,base.state_co_22,221004
town_co_1150,23672001,EL PORVENIR,672001,base.co,base.state_co_10,672001
town_co_1151,70221005,EL MAMEY,221005,base.co,base.state_co_22,221005
town_co_1152,23586002,EL HUESO,586002,base.co,base.state_co_10,586002
town_co_1153,70702009,EL SOCORRO,702009,base.co,base.state_co_22,702009
town_co_1154,23672016,LA BONGUITA,672016,base.co,base.state_co_10,672016
town_co_1155,23672021,CAÑO LOBO,672021,base.co,base.state_co_10,672021
town_co_1156,20295006,PUERTO VIEJO,295006,base.co,base.state_co_09,295006
town_co_1157,23672003,NUEVO AGRADO,672003,base.co,base.state_co_10,672003
town_co_1158,23586000,PURÍSIMA,586000,base.co,base.state_co_10,586000
town_co_1159,23417042,JUAN DE DIOS GARIS,417042,base.co,base.state_co_10,417042
town_co_1160,700010005,LOS CORRALES,10005,base.co,base.state_co_22,10005
